folder,dataset_file,file_type,n_variables,n_rows,status,cleaned
eeq_2022,2022 Quebec Election Study v1.dta,dta,718,1521,OK,❌ Not Started
elxnQC_particip_egm_2021,Participation ÉGM 2021_Base de données.xlsx,xlsx,84,3222,OK,❌ Not Started
elxnQC_particip_egp_2018,Participation ÉGP 2018_Base de données.csv,csv,208,2175,OK,❌ Not Started
elxnQC_satis_2018,Satisfaction 2018_Base de données.xlsx,xlsx,111,1003,OK,❌ Not Started
elxnQC_satis_2022,Satisfaction 2022_Base de données.xlsx,xlsx,89,1001,OK,❌ Not Started
elxnQC_vote_internet_2019,VPI 2019_Consultation en ligne_Base de données.xlsx,xlsx,45,21668,OK,❌ Not Started
enquete_can_nature_2012,cns2012pumf_original.xlsx,xlsx,0,0,OK,❌ Not Started
govcan_06822_wave1_2024,068-22-wave1-data.csv,csv,225,3375,OK,❌ Not Started
govcan_06822_wave2_2024,068-22-wave2-data.csv,csv,218,3375,OK,❌ Not Started
govcan_06822_wave3_2024,068-22-wave3-data.csv,csv,213,3375,OK,❌ Not Started
govcan_06822_wave4_2024,068-22-wave4-data.csv,csv,259,3375,OK,❌ Not Started
govcan_2022,COSMO_in_Canada_Waves_1-16.csv,csv,1456,33130,OK,❌ Not Started
govcan_2023,POR-057-21-Wave8-Dataset-n=16000-July26-2023.csv,csv,920,16000,OK,❌ Not Started
govcan_2025,071-24-données.csv,csv,196,1712,OK,❌ Not Started
govcan_habit_2024,HABIT-Phase-II-Final-Data.csv,csv,904,6106,OK,❌ Not Started
govcan_parca_2024,PARCA-Phase2-Final-Merged-Data(1).csv,csv,2575,13771,OK,❌ Not Started
govcan_por003_q1_2023,POR003-22-datafile-Q1-2023.csv,csv,365,12000,OK,❌ Not Started
govcan_por003_q1_2024,POR003-22-datafile-Q1-2024.csv,csv,278,11000,OK,❌ Not Started
govcan_por003_q2_2023,POR003-22-datafile-Q2-2023.csv,csv,348,12000,OK,❌ Not Started
govcan_por003_q2_2024,POR003-22-datafile-Q2-2024.csv,csv,310,13000,OK,❌ Not Started
govcan_por003_q3_2022,POR003-22-datafile-Q3-2022.csv,csv,165,5000,OK,❌ Not Started
govcan_por003_q3_2023,POR003-22-datafile-Q3-2023.csv,csv,249,12000,OK,❌ Not Started
govcan_por003_q3_2024,POR003-22-datafile-Q3-2024.csv,csv,207,11000,OK,❌ Not Started
govcan_por003_q4_2022,POR003-22-datafile-Q4-2022.csv,csv,248,11000,OK,❌ Not Started
govcan_por003_q4_2023,POR003-22-datafile-Q4-2023.csv,csv,281,11000,OK,❌ Not Started
mamh_connaissance_affaires_municipales_2023,P3.1 - Micro-données.xlsx,xlsx,132,1934,OK,❌ Not Started
mamh_connaissance_affaires_municipales_2024,P1.1 - Micro-données.xlsx,xlsx,143,1570,OK,❌ Not Started
mamh_milieu_vie_citoyens,P4.2 - Tableaux détaillés - incluant résidus.xlsx,xlsx,1,5150,OK,❌ Not Started
municipal_canada_elxn_2020,CanadianMunicipalElectionsDatabase_2020.dta,dta,19,123416,OK,❌ Not Started
provincial_qc_2012,Quebec_provincial_2012.dta,dta,312,990,OK,❌ Not Started
provincial_qc_2018,IPsos_oct_2018_17-057727_V.SAV,sav,72,1250,OK,❌ Not Started
satis_municipalites_2016,2016_resultatssondagesatisfactioncollectifs2016(1).csv,csv,145,7614,OK,❌ Not Started
services_collectif_quebec-city_2019,vdqresultatsondagejuin2019(1).csv,csv,76,1001,OK,❌ Not Started
